0x5639445f32a0,0x2a0,10.000
0x5639445f42a0,0x2a0,2.000
0x5639445f52a0,0x2a0,1.000
0x5639445f62a0,0x2a0,1.000
0x5639445f72a0,0x2a0,1.000
0x5639445f82a0,0x2a0,1.000
0x5639445f92a0,0x2a0,1.000
0x5639445fa2a0,0x2a0,0.000
0x5639445fb2a0,0x2a0,1.000
0x5639445fc2a0,0x2a0,1.000
0x5639445fd2a0,0x2a0,1.000
0x5639445fe2a0,0x2a0,1.000
0x5639445ff2a0,0x2a0,1.000
0x5639446002a0,0x2a0,2.000
0x5639446012a0,0x2a0,1.000
0x5639446022a0,0x2a0,1.000
0x5639446032a0,0x2a0,1.000
0x5639446042a0,0x2a0,1.000
0x5639446052a0,0x2a0,1.000
0x5639446062a0,0x2a0,1.000
0x5639446072a0,0x2a0,1.000
0x5639446082a0,0x2a0,1.000
0x5639446092a0,0x2a0,1.000
0x56394460a2a0,0x2a0,1.000
0x56394460b2a0,0x2a0,0.000
0x56394460c2a0,0x2a0,1.000
0x56394460d2a0,0x2a0,1.000
0x56394460e2a0,0x2a0,2.000
0x56394460f2a0,0x2a0,1.000
0x5639446102a0,0x2a0,1.000
0x5639446112a0,0x2a0,1.000
0x5639446122a0,0x2a0,1.000
0x5639446132a0,0x2a0,1.000
0x5639446142a0,0x2a0,1.000
0x5639446152a0,0x2a0,1.000
0x5639446162a0,0x2a0,1.000
0x5639446172a0,0x2a0,1.000
0x5639446182a0,0x2a0,1.000
0x5639446192a0,0x2a0,1.000
0x56394461a2a0,0x2a0,1.000
0x56394461b2a0,0x2a0,1.000
0x56394461c2a0,0x2a0,1.000
0x56394461d2a0,0x2a0,1.000
0x56394461e2a0,0x2a0,2.000
0x56394461f2a0,0x2a0,1.000
0x5639446202a0,0x2a0,1.000
0x5639446212a0,0x2a0,1.000
0x5639446222a0,0x2a0,1.000
0x5639446232a0,0x2a0,1.000
0x5639446242a0,0x2a0,1.000
0x5639446252a0,0x2a0,1.000
0x5639446262a0,0x2a0,1.000
0x5639446272a0,0x2a0,1.000
0x5639446282a0,0x2a0,1.000
0x5639446292a0,0x2a0,1.000
0x56394462a2a0,0x2a0,1.000
0x56394462b2a0,0x2a0,1.000
0x56394462c2a0,0x2a0,1.000
0x56394462d2a0,0x2a0,2.000
0x56394462e2a0,0x2a0,1.000
0x56394462f2a0,0x2a0,1.000
0x5639446302a0,0x2a0,1.000
0x5639446312a0,0x2a0,1.000
0x5639446322a0,0x2a0,1.000
0x5639446332a0,0x2a0,1.000
0x5639446342a0,0x2a0,1.000
0x5639446352a0,0x2a0,1.000
0x5639446362a0,0x2a0,1.000
0x5639446372a0,0x2a0,1.000
0x5639446382a0,0x2a0,1.000
0x5639446392a0,0x2a0,1.000
0x56394463a2a0,0x2a0,1.000
0x56394463b2a0,0x2a0,1.000
0x56394463c2a0,0x2a0,1.000
0x56394463d2a0,0x2a0,1.000
0x56394463e2a0,0x2a0,1.000
0x56394463f2a0,0x2a0,1.000
0x5639446402a0,0x2a0,0.000
0x5639446412a0,0x2a0,1.000
0x5639446422a0,0x2a0,1.000
0x5639446432a0,0x2a0,1.000
0x5639446442a0,0x2a0,1.000
0x5639446452a0,0x2a0,1.000
0x5639446462a0,0x2a0,2.000
0x5639446472a0,0x2a0,1.000
0x5639446482a0,0x2a0,2.000
0x5639446492a0,0x2a0,1.000
0x56394464a2a0,0x2a0,1.000
0x56394464b2a0,0x2a0,1.000
0x56394464c2a0,0x2a0,1.000
0x56394464d2a0,0x2a0,1.000
0x56394464e2a0,0x2a0,1.000
0x56394464f2a0,0x2a0,1.000
0x5639446502a0,0x2a0,1.000
0x5639446512a0,0x2a0,1.000
0x5639446522a0,0x2a0,1.000
0x5639446532a0,0x2a0,1.000
0x5639446542a0,0x2a0,1.000
0x5639446552a0,0x2a0,1.000
0x5639446562a0,0x2a0,1.000
0x5639446572a0,0x2a0,1.000
0x5639446582a0,0x2a0,1.000
0x5639446592a0,0x2a0,1.000
0x56394465a2a0,0x2a0,1.000
0x56394465b2a0,0x2a0,1.000
0x56394465c2a0,0x2a0,1.000
0x56394465d2a0,0x2a0,1.000
0x56394465e2a0,0x2a0,1.000
0x56394465f2a0,0x2a0,1.000
0x5639446602a0,0x2a0,1.000
0x5639446612a0,0x2a0,1.000
0x5639446622a0,0x2a0,1.000
0x5639446632a0,0x2a0,0.000
0x5639446642a0,0x2a0,1.000
0x5639446652a0,0x2a0,1.000
0x5639446662a0,0x2a0,1.000
0x5639446672a0,0x2a0,1.000
0x5639446682a0,0x2a0,1.000
0x5639446692a0,0x2a0,1.000
0x56394466a2a0,0x2a0,1.000
0x56394466b2a0,0x2a0,1.000
0x56394466c2a0,0x2a0,1.000
0x56394466d2a0,0x2a0,1.000
0x56394466e2a0,0x2a0,1.000
0x56394466f2a0,0x2a0,2.000
0x5639446702a0,0x2a0,2.000
0x5639446712a0,0x2a0,1.000
0x5639446722a0,0x2a0,1.000
0x5639446732a0,0x2a0,2.000
0x5639446742a0,0x2a0,1.000
0x5639446752a0,0x2a0,1.000
0x5639446762a0,0x2a0,1.000
0x5639446772a0,0x2a0,1.000
0x5639446782a0,0x2a0,1.000
0x5639446792a0,0x2a0,1.000
0x56394467a2a0,0x2a0,1.000
0x56394467b2a0,0x2a0,1.000
0x56394467c2a0,0x2a0,1.000
0x56394467d2a0,0x2a0,1.000
0x56394467e2a0,0x2a0,1.000
0x56394467f2a0,0x2a0,1.000
0x5639446802a0,0x2a0,1.000
0x5639446812a0,0x2a0,1.000
0x5639446822a0,0x2a0,1.000
0x5639446832a0,0x2a0,1.000
